province_code,province_name,city,site_name,latitude,longitude,contamination_group_count,contamination_groups,contamination_types,contamination_record_count,est_cost_min_cad_per_tonne,est_cost_max_cad_per_tonne,est_cost_avg_mid_cad_per_tonne
BC,British Columbia,Vancouver,555 - Squamish - 00009 - KITSILANO NO. 6 - 0901112102,49.273892,-123.143086,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | BTEXs (benzene, toluene, ethylbenzene, and xylene) | PCBs (Polychlorinated Biphenyl) and PCDD/Fs (polychlorinated dibenzo-p-dioxin/dibenzofuran) | PHCs (petroleum hydrocarbons)",7,180,280,300
BC,British Columbia,Vancouver,Bessborough Armoury,49.262500,-123.151000,2,Industrial Acids/Solvents | Unknown,"Halogenated Hydrocarbon | Metal, metalloid, and organometallic",2,450,900,745
BC,British Columbia,Vancouver,Fairmont Complex,49.239470,-123.122000,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,300
BC,British Columbia,Vancouver,Former POL Storage Site at HMCS Discovery,49.296900,-123.123000,2,Oil/Petroleum (PHCs) | Unknown,"BTEXs (benzene, toluene, ethylbenzene, and xylene) | Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,300
BC,British Columbia,Vancouver,Harry Stevens Office Building,49.262260,-123.102240,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons),2,180,280,300
BC,British Columbia,Vancouver,Jericho Beach,49.267100,-123.191000,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),1,180,280,300
BC,British Columbia,Vancouver,Kitsilano Coast Guard Station,49.276252,-123.138445,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,300
BC,British Columbia,Vancouver,Seaforth Armoury,49.271100,-123.144000,1,Unknown,"Metal, metalloid, and organometallic",1,,,
BC,British Columbia,Vancouver,Standards Building,49.265167,-123.026964,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons),4,180,280,300
BC,British Columbia,Vancouver,VANCOUVER (FALSE CREEK),49.272828,-123.138939,1,Unknown,"Metal, metalloid, and organometallic",2,,,
BC,British Columbia,Vancouver,Vanier Park,49.276368,-123.142586,2,Oil/Petroleum (PHCs) | Unknown,"BTEXs (benzene, toluene, ethylbenzene, and xylene) | Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",12,180,280,300
BC,British Columbia,Vancouver,Workshop NE Corner of Building 21 at HMCS Discovery,49.296900,-123.123000,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,300
ON,Ontario,Ottawa,100 Bayview Road,45.407955,-75.725951,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon),1,180,280,234.6
ON,Ontario,Ottawa,150 Middle Street,45.419895,-75.714145,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | Energetics | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",5,180,280,234.6
ON,Ontario,Ottawa,"1501 St. Joseph, Ottawa",45.460512,-75.563249,1,Oil/Petroleum (PHCs),"BTEXs (benzene, toluene, ethylbenzene, and xylene) | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,234.6
ON,Ontario,Ottawa,156 Middle Street,45.419899,-75.714421,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,234.6
